week,home_team,away_team,home_score,away_score,home_projected,away_projected,year,league_id,league_name
11,Olave Garden,Hop on my Chubb,126.07,146.71,125.99,129.16,2023,499904937,Sunday Funday
11,Mixon Match,Dawg Pound,168.28,124.7,136.69,120.37,2023,499904937,Sunday Funday
11,Team Williams,Team JB,100.77,117.88,128.01,132.4,2023,499904937,Sunday Funday
11,Bonchon Robinson,Estebandz,87.26,89.19,101.1,86.06,2023,499904937,Sunday Funday
12,All TUA Easy ,C Deez 🥜,110.68,123.78,109.49,128.77,2023,499904937,Sunday Funday
12,Hop on my Chubb,Mo' Mooney Mo' Problems,136.46,153.36,125.34,131.12,2023,499904937,Sunday Funday
12,Dawg Pound,Fourth and Drunk,169.47,112.13,134.36,110.06,2023,499904937,Sunday Funday
12,Team JB,Olave Garden,142.62,147.52,126.4,128.01,2023,499904937,Sunday Funday
12,Estebandz,Mixon Match,167.02,105.14,131.16,141.98,2023,499904937,Sunday Funday
12,Bonchon Robinson,Team Williams,118.0,115.44,106.83,129.11,2023,499904937,Sunday Funday
13,Hop on my Chubb,All TUA Easy ,153.89,149.33,115.38,118.69,2023,499904937,Sunday Funday
13,C Deez 🥜,Dawg Pound,94.03,166.71,117.12,135.06,2023,499904937,Sunday Funday
13,Mo' Mooney Mo' Problems,Team JB,102.59,126.92,115.5,118.72,2023,499904937,Sunday Funday
13,Fourth and Drunk,Estebandz,80.51,206.69,111.61,130.91,2023,499904937,Sunday Funday
13,Olave Garden,Bonchon Robinson,128.91,103.13,123.45,111.12,2023,499904937,Sunday Funday
13,Mixon Match,Team Williams,146.05,95.5,137.69,107.88,2023,499904937,Sunday Funday
14,All TUA Easy ,Dawg Pound,102.43,114.13,112.41,128.09,2023,499904937,Sunday Funday
14,Team JB,Hop on my Chubb,105.79,145.7,124.21,116.95,2023,499904937,Sunday Funday
14,Estebandz,C Deez 🥜,117.0,98.89,120.85,124.49,2023,499904937,Sunday Funday
14,Bonchon Robinson,Mo' Mooney Mo' Problems,89.04,139.05,93.27,118.57,2023,499904937,Sunday Funday
14,Team Williams,Fourth and Drunk,160.45,120.87,125.81,118.52,2023,499904937,Sunday Funday
14,Mixon Match,Olave Garden,101.94,116.71,135.62,136.63,2023,499904937,Sunday Funday
1,Blk Mania,Team zeke,67.78,154.74,8.41,8.29,2023,244658114,Johnson's
1,A Real Killa,Raiders Nation,120.96,124.46,32.25,7.75,2023,244658114,Johnson's
1,Abraham’s mom ,Team Zee,66.26,134.64,21.72,8.59,2023,244658114,Johnson's
1,Team Johnson iii,NBA 4Skiii,136.76,127.92,8.01,7.92,2023,244658114,Johnson's
1,DaBears,Childhood menace ,64.44,79.74,16.35,0.0,2023,244658114,Johnson's
1,Jonny Football,Jarbo,137.74,108.0,12.53,30.46,2023,244658114,Johnson's
2,Team zeke,Raiders Nation,129.24,155.5,119.59,112.12,2023,244658114,Johnson's
2,Team Zee,Blk Mania,69.06,119.38,100.33,119.92,2023,244658114,Johnson's
2,NBA 4Skiii,A Real Killa,121.0,113.46,124.61,117.48,2023,244658114,Johnson's
2,Childhood menace ,Abraham’s mom ,136.36,108.18,112.23,113.95,2023,244658114,Johnson's
2,Jarbo,Team Johnson iii,102.12,112.3,122.06,115.11,2023,244658114,Johnson's
2,Jonny Football,DaBears,115.84,136.16,121.74,111.52,2023,244658114,Johnson's
3,Team Zee,Team zeke,108.46,147.72,117.81,130.85,2023,244658114,Johnson's
3,Raiders Nation,NBA 4Skiii,103.1,117.76,112.96,126.46,2023,244658114,Johnson's
3,Blk Mania,Childhood menace ,117.48,105.68,115.36,116.24,2023,244658114,Johnson's
3,A Real Killa,Jarbo,113.38,103.28,122.69,120.5,2023,244658114,Johnson's
3,Abraham’s mom ,Jonny Football,106.18,149.76,113.48,116.47,2023,244658114,Johnson's
3,Team Johnson iii,DaBears,129.76,128.92,115.29,103.62,2023,244658114,Johnson's
4,Team zeke,NBA 4Skiii,124.3,110.44,131.62,117.68,2023,244658114,Johnson's
4,Childhood menace ,Team Zee,80.72,164.48,110.05,120.27,2023,244658114,Johnson's
4,Jarbo,Raiders Nation,101.26,110.96,110.51,118.9,2023,244658114,Johnson's
4,Jonny Football,Blk Mania,97.94,75.62,126.23,116.47,2023,244658114,Johnson's
4,DaBears,A Real Killa,115.7,160.5,113.88,120.5,2023,244658114,Johnson's
4,Team Johnson iii,Abraham’s mom ,98.02,71.54,115.54,95.3,2023,244658114,Johnson's
5,Childhood menace ,Team zeke,123.84,126.98,101.31,116.26,2023,244658114,Johnson's
5,NBA 4Skiii,Jarbo,89.92,158.92,117.48,101.2,2023,244658114,Johnson's
5,Team Zee,Jonny Football,104.92,85.98,107.51,122.16,2023,244658114,Johnson's
5,Raiders Nation,DaBears,98.74,157.16,111.41,108.46,2023,244658114,Johnson's
5,Blk Mania,Team Johnson iii,113.28,78.32,111.53,113.63,2023,244658114,Johnson's
5,A Real Killa,Abraham’s mom ,105.02,119.84,124.12,95.48,2023,244658114,Johnson's
6,Team zeke,Jarbo,99.12,105.5,126.2,114.83,2023,244658114,Johnson's
6,Jonny Football,Childhood menace ,102.94,80.34,130.01,114.04,2023,244658114,Johnson's
6,DaBears,NBA 4Skiii,80.86,125.58,125.19,110.83,2023,244658114,Johnson's
6,Team Johnson iii,Team Zee,117.78,104.48,122.5,124.15,2023,244658114,Johnson's
6,Abraham’s mom ,Raiders Nation,122.62,139.68,109.0,110.43,2023,244658114,Johnson's
6,A Real Killa,Blk Mania,99.44,108.2,121.01,106.13,2023,244658114,Johnson's
7,Jonny Football,Team zeke,115.36,96.76,123.81,122.87,2023,244658114,Johnson's
7,Jarbo,DaBears,99.76,130.9,101.54,115.48,2023,244658114,Johnson's
7,Childhood menace ,Team Johnson iii,109.96,78.7,96.94,118.85,2023,244658114,Johnson's
7,NBA 4Skiii,Abraham’s mom ,111.56,123.18,105.29,109.07,2023,244658114,Johnson's
7,Team Zee,A Real Killa,102.14,117.9,107.47,102.34,2023,244658114,Johnson's
7,Raiders Nation,Blk Mania,105.06,142.5,115.17,101.52,2023,244658114,Johnson's
8,Team zeke,DaBears,109.46,111.96,113.67,125.24,2023,244658114,Johnson's
8,Team Johnson iii,Jonny Football,108.18,116.88,120.61,118.01,2023,244658114,Johnson's
