name,position,team,owner,total_points,league_id,league_name
Geno Smith,QB,SEA,Njigbas in Paris,220.93,891505,Sunday Funday
Amon-Ra St. Brown,WR,DET,Njigbas in Paris,279.98,891505,Sunday Funday
Jaxon Smith-Njigba,WR,SEA,Njigbas in Paris,226.95,891505,Sunday Funday
Mike Evans,WR,TB,Njigbas in Paris,210.0,891505,Sunday Funday
Aaron Jones Sr.,RB,MIN,Njigbas in Paris,217.35,891505,Sunday Funday
Zach Charbonnet,RB,SEA,Njigbas in Paris,170.3,891505,Sunday Funday
Cole Kmet,TE,CHI,Njigbas in Paris,106.85,891505,Sunday Funday
Chase Brown,RB,CIN,Njigbas in Paris,242.0,891505,Sunday Funday
Kenneth Walker III,RB,SEA,Njigbas in Paris,169.95,891505,Sunday Funday
C.J. Stroud,QB,HOU,Njigbas in Paris,192.88,891505,Sunday Funday
Xavier Worthy,WR,KC,Njigbas in Paris,174.7,891505,Sunday Funday
Xavier Legette,WR,CAR,Njigbas in Paris,107.6,891505,Sunday Funday
Alec Pierce,WR,IND,Njigbas in Paris,148.7,891505,Sunday Funday
Chase McLaughlin,K,TB,Njigbas in Paris,133.0,891505,Sunday Funday
Miami,DEF,MIA,Njigbas in Paris,154.0,891505,Sunday Funday
Romeo Doubs,WR,GB,Njigbas in Paris,120.6,891505,Sunday Funday
Chris Olave,WR,NO,Njigbas in Paris,68.95,891505,Sunday Funday
Kyler Murray,QB,ARI,Don’t Stop Believing,261.61,891505,Sunday Funday
Marvin Harrison Jr.,WR,ARI,Don’t Stop Believing,168.2,891505,Sunday Funday
Tee Higgins,WR,CIN,Don’t Stop Believing,198.8,891505,Sunday Funday
DeVonta Smith,WR,PHI,Don’t Stop Believing,189.9,891505,Sunday Funday
Derrick Henry,RB,BAL,Don’t Stop Believing,312.55,891505,Sunday Funday
Joe Mixon,RB,HOU,Don’t Stop Believing,236.2,891505,Sunday Funday
David Njoku,TE,CLE,Don’t Stop Believing,132.5,891505,Sunday Funday
Tyrone Tracy Jr.,RB,NYG,Don’t Stop Believing,167.45,891505,Sunday Funday
Justin Herbert,QB,LAC,Don’t Stop Believing,244.11,891505,Sunday Funday
Nick Westbrook-Ikhine,WR,TEN,Don’t Stop Believing,122.7,891505,Sunday Funday
Gus Edwards,RB,LAC,Don’t Stop Believing,64.1,891505,Sunday Funday
Cedric Tillman,WR,CLE,Don’t Stop Believing,72.65,891505,Sunday Funday
Noah Brown,WR,WAS,Don’t Stop Believing,79.8,891505,Sunday Funday
Tyler Bass,K,BUF,Don’t Stop Believing,123.0,891505,Sunday Funday
Cincinnati,DEF,CIN,Don’t Stop Believing,147.5,891505,Sunday Funday
Allen Lazard,WR,NYJ,Don’t Stop Believing,104.4,891505,Sunday Funday
Lamar Jackson,QB,BAL,Suck my diggs,414.9,891505,Sunday Funday
Jameson Williams,WR,DET,Suck my diggs,201.8,891505,Sunday Funday
A.J. Brown,WR,PHI,Suck my diggs,210.65,891505,Sunday Funday
Jerry Jeudy,WR,CLE,Suck my diggs,216.6,891505,Sunday Funday
Saquon Barkley,RB,PHI,Suck my diggs,368.8,891505,Sunday Funday
D'Andre Swift,RB,CHI,Suck my diggs,194.25,891505,Sunday Funday
T.J. Hockenson,TE,MIN,Suck my diggs,74.6,891505,Sunday Funday
George Pickens,WR,PIT,Suck my diggs,152.9,891505,Sunday Funday
Dalton Schultz,TE,HOU,Suck my diggs,99.8,891505,Sunday Funday
Rhamondre Stevenson,RB,NE,Suck my diggs,164.9,891505,Sunday Funday
Quentin Johnston,WR,LAC,Suck my diggs,135.6,891505,Sunday Funday
Caleb Williams,QB,CHI,Suck my diggs,214.62,891505,Sunday Funday
Antonio Gibson,RB,NE,Suck my diggs,89.05,891505,Sunday Funday
Cameron Dicker,K,LAC,Suck my diggs,133.0,891505,Sunday Funday
New Orleans,DEF,NO,Suck my diggs,144.5,891505,Sunday Funday
Green Bay,DEF,GB,Suck my diggs,230.5,891505,Sunday Funday
Joe Burrow,QB,CIN,Ricky’s Rolex,365.84,891505,Sunday Funday
Davante Adams,WR,NYJ,Ricky’s Rolex,206.75,891505,Sunday Funday
DK Metcalf,WR,SEA,Ricky’s Rolex,166.9,891505,Sunday Funday
Jayden Reed,WR,GB,Ricky’s Rolex,185.15,891505,Sunday Funday
