name,position,team,owner,total_points,total_projected_points,avg_points,projected_avg_points,year,league_id,league_name
Steelers D/ST,D/ST,PIT,Estebandz,234.88,0.0,13.82,0.0,2023,499904937,Sunday Funday
Michael Gallup,WR,DAL,Estebandz,80.05,144.48,4.71,9.63,2023,499904937,Sunday Funday
Younghoe Koo,K,ATL,Estebandz,127.7,132.79,7.51,7.81,2023,499904937,Sunday Funday
Van Jefferson,WR,PIT,Estebandz,36.3,0.0,2.14,0.0,2023,499904937,Sunday Funday
Jerome Ford,RB,CLE,Estebandz,204.7,0.0,12.04,0.0,2023,499904937,Sunday Funday
Falcons D/ST,D/ST,ATL,Estebandz,183.0,0.0,10.76,0.0,2023,499904937,Sunday Funday
Rondale Moore,WR,ATL,Estebandz,95.5,0.0,5.62,0.0,2023,499904937,Sunday Funday
George Pickens,WR,PIT,Estebandz,200.55,0.0,11.8,0.0,2023,499904937,Sunday Funday
Isiah Pacheco,RB,KC,Estebandz,204.9,0.0,14.64,0.0,2023,499904937,Sunday Funday
Derek Carr,QB,NO,Estebandz,217.87,0.0,12.82,0.0,2023,499904937,Sunday Funday
Tony Pollard,RB,TEN,Mo' Mooney Mo' Problems,206.6,0.0,12.15,0.0,2023,499904937,Sunday Funday
Garrett Wilson,WR,NYJ,Mo' Mooney Mo' Problems,190.95,230.95,11.23,15.4,2023,499904937,Sunday Funday
Calvin Ridley,WR,TEN,Mo' Mooney Mo' Problems,214.9,0.0,12.64,0.0,2023,499904937,Sunday Funday
Justin Fields,QB,PIT,Mo' Mooney Mo' Problems,192.68,0.0,14.82,0.0,2023,499904937,Sunday Funday
Jonathan Taylor,RB,IND,Mo' Mooney Mo' Problems,152.15,0.0,15.22,0.0,2023,499904937,Sunday Funday
Javonte Williams,RB,DEN,Mo' Mooney Mo' Problems,166.45,0.0,10.4,0.0,2023,499904937,Sunday Funday
Jerry Jeudy,WR,CLE,Mo' Mooney Mo' Problems,128.3,0.0,8.02,0.0,2023,499904937,Sunday Funday
Kyler Murray,QB,ARI,Mo' Mooney Mo' Problems,126.11,0.0,15.76,0.0,2023,499904937,Sunday Funday
Kyren Williams,RB,LAR,Mo' Mooney Mo' Problems,248.5,0.0,20.71,0.0,2023,499904937,Sunday Funday
Gus Edwards,RB,LAC,Mo' Mooney Mo' Problems,181.0,0.0,10.65,0.0,2023,499904937,Sunday Funday
Joshua Palmer,WR,LAC,Mo' Mooney Mo' Problems,99.7,0.0,9.06,0.0,2023,499904937,Sunday Funday
Dalton Kincaid,TE,BUF,Mo' Mooney Mo' Problems,131.05,0.0,8.19,0.0,2023,499904937,Sunday Funday
Brandon Aubrey,K,DAL,Mo' Mooney Mo' Problems,175.0,121.2,10.29,7.13,2023,499904937,Sunday Funday
Lions D/ST,D/ST,DET,Mo' Mooney Mo' Problems,185.58,0.0,10.92,0.0,2023,499904937,Sunday Funday
Dallas Goedert,TE,PHI,Mo' Mooney Mo' Problems,122.3,0.0,8.74,0.0,2023,499904937,Sunday Funday
Clyde Edwards-Helaire,RB,KC,Mo' Mooney Mo' Problems,65.85,80.24,4.39,5.73,2023,499904937,Sunday Funday
Khalil Shakir,WR,BUF,Mo' Mooney Mo' Problems,105.85,46.27,6.23,3.08,2023,499904937,Sunday Funday
Jake Browning,QB,CIN,Mo' Mooney Mo' Problems,130.44,0.0,14.49,0.0,2023,499904937,Sunday Funday
CeeDee Lamb,WR,DAL,C Deez 🥜,375.95,0.0,22.11,0.0,2023,499904937,Sunday Funday
Josh Jacobs,RB,GB,C Deez 🥜,171.85,0.0,13.22,0.0,2023,499904937,Sunday Funday
Amari Cooper,WR,CLE,C Deez 🥜,216.25,0.0,14.42,0.0,2023,499904937,Sunday Funday
George Kittle,TE,SF,C Deez 🥜,191.95,0.0,12.0,0.0,2023,499904937,Sunday Funday
Miles Sanders,RB,CAR,C Deez 🥜,78.85,0.0,4.93,0.0,2023,499904937,Sunday Funday
D'Andre Swift,RB,CHI,C Deez 🥜,188.05,0.0,11.75,0.0,2023,499904937,Sunday Funday
Jordan Addison,WR,MIN,C Deez 🥜,210.05,0.0,12.36,0.0,2023,499904937,Sunday Funday
Bills D/ST,D/ST,BUF,C Deez 🥜,263.36,0.0,15.49,0.0,2023,499904937,Sunday Funday
Jaylen Warren,RB,PIT,C Deez 🥜,180.65,0.0,10.63,0.0,2023,499904937,Sunday Funday
Jake Elliott,K,PHI,C Deez 🥜,154.8,136.41,9.11,8.02,2023,499904937,Sunday Funday
Keaton Mitchell,RB,BAL,C Deez 🥜,69.15,0.0,8.64,0.0,2023,499904937,Sunday Funday
Russell Wilson,QB,PIT,C Deez 🥜,223.4,0.0,14.89,0.0,2023,499904937,Sunday Funday
Matthew Stafford,QB,LAR,C Deez 🥜,224.85,0.0,14.99,0.0,2023,499904937,Sunday Funday
Texans D/ST,D/ST,HOU,C Deez 🥜,236.2,0.0,13.89,0.0,2023,499904937,Sunday Funday
Saints D/ST,D/ST,NO,C Deez 🥜,220.82,0.0,12.99,0.0,2023,499904937,Sunday Funday
Elijah Moore,WR,CLE,C Deez 🥜,115.35,129.79,6.79,8.65,2023,499904937,Sunday Funday
Davante Adams,WR,LV,Bonchon Robinson,242.65,0.0,14.27,0.0,2023,499904937,Sunday Funday
Christian Watson,WR,GB,Bonchon Robinson,94.3,0.0,9.43,0.0,2023,499904937,Sunday Funday
Najee Harris,RB,PIT,Bonchon Robinson,187.75,0.0,11.04,0.0,2023,499904937,Sunday Funday
Terry McLaurin,WR,WSH,Bonchon Robinson,190.2,0.0,11.19,0.0,2023,499904937,Sunday Funday
Evan Engram,TE,JAX,Bonchon Robinson,198.8,0.0,11.69,0.0,2023,499904937,Sunday Funday
Gabe Davis,WR,JAX,Bonchon Robinson,153.4,0.0,9.02,0.0,2023,499904937,Sunday Funday
Eagles D/ST,D/ST,PHI,Bonchon Robinson,161.84,0.0,9.52,0.0,2023,499904937,Sunday Funday
K.J. Osborn,WR,NE,Bonchon Robinson,107.0,0.0,6.69,0.0,2023,499904937,Sunday Funday
Hunter Henry,TE,NE,Bonchon Robinson,108.4,0.0,7.74,0.0,2023,499904937,Sunday Funday
Roschon Johnson,RB,CHI,Bonchon Robinson,92.6,0.0,6.17,0.0,2023,499904937,Sunday Funday
Sam Howell,QB,SEA,Bonchon Robinson,204.54,0.0,12.03,0.0,2023,499904937,Sunday Funday
Antonio Gibson,RB,NE,Bonchon Robinson,112.4,0.0,7.03,0.0,2023,499904937,Sunday Funday
Dustin Hopkins,K,CLE,Bonchon Robinson,142.1,130.02,9.47,7.65,2023,499904937,Sunday Funday
Panthers D/ST,D/ST,CAR,Bonchon Robinson,158.86,0.0,9.34,0.0,2023,499904937,Sunday Funday
Tank Dell,WR,HOU,Bonchon Robinson,156.75,0.0,14.25,0.0,2023,499904937,Sunday Funday
Bijan Robinson,RB,ATL,Bonchon Robinson,232.05,0.0,13.65,0.0,2023,499904937,Sunday Funday
Joshua Dobbs,QB,SF,Bonchon Robinson,161.66,0.0,12.44,0.0,2023,499904937,Sunday Funday
Aaron Jones,RB,MIN,All TUA Easy ,127.65,0.0,11.6,0.0,2023,499904937,Sunday Funday
Chris Godwin,WR,TB,All TUA Easy ,190.7,0.0,11.22,0.0,2023,499904937,Sunday Funday
49ers D/ST,D/ST,SF,All TUA Easy ,234.9,0.0,13.82,0.0,2023,499904937,Sunday Funday
Evan McPherson,K,CIN,All TUA Easy ,132.7,0.0,7.81,0.0,2023,499904937,Sunday Funday
Tua Tagovailoa,QB,MIA,All TUA Easy ,244.61,0.0,14.39,0.0,2023,499904937,Sunday Funday
Sam LaPorta,TE,DET,All TUA Easy ,219.3,0.0,12.9,0.0,2023,499904937,Sunday Funday
Brock Purdy,QB,SF,All TUA Easy ,277.35,0.0,17.33,0.0,2023,499904937,Sunday Funday
Zack Moss,RB,CIN,All TUA Easy ,166.35,0.0,11.88,0.0,2023,499904937,Sunday Funday
Josh Downs,WR,IND,All TUA Easy ,142.85,0.0,8.4,0.0,2023,499904937,Sunday Funday
Travis Etienne Jr.,RB,JAX,All TUA Easy ,273.4,0.0,16.08,0.0,2023,499904937,Sunday Funday
DeMario Douglas,WR,NE,All TUA Easy ,91.95,0.0,6.57,0.0,2023,499904937,Sunday Funday
Taysom Hill,TE,NO,All TUA Easy ,133.27,0.0,8.33,0.0,2023,499904937,Sunday Funday
Vikings D/ST,D/ST,MIN,All TUA Easy ,202.14,0.0,11.89,0.0,2023,499904937,Sunday Funday
DeVonta Smith,WR,PHI,All TUA Easy ,209.85,0.0,13.12,0.0,2023,499904937,Sunday Funday
Latavius Murray,RB,BUF,All TUA Easy ,77.65,39.66,4.85,2.83,2023,499904937,Sunday Funday
Noah Brown,WR,HOU,All TUA Easy ,96.85,0.0,9.68,0.0,2023,499904937,Sunday Funday
Amon-Ra St. Brown,WR,DET,Dawg Pound,308.4,219.73,19.27,14.65,2023,499904937,Sunday Funday
Jalen Hurts,QB,PHI,Dawg Pound,321.82,0.0,18.93,0.0,2023,499904937,Sunday Funday
Rhamondre Stevenson,RB,NE,Dawg Pound,137.2,0.0,11.43,0.0,2023,499904937,Sunday Funday
Darren Waller,TE,NYG,Dawg Pound,100.2,0.0,8.35,0.0,2023,499904937,Sunday Funday
Brandon Aiyuk,WR,SF,Dawg Pound,236.7,0.0,14.79,0.0,2023,499904937,Sunday Funday
Michael Pittman Jr.,WR,IND,Dawg Pound,225.2,0.0,14.07,0.0,2023,499904937,Sunday Funday
James Cook,RB,BUF,Dawg Pound,219.95,0.0,12.94,0.0,2023,499904937,Sunday Funday
Romeo Doubs,WR,GB,Dawg Pound,158.65,0.0,9.33,0.0,2023,499904937,Sunday Funday
Ravens D/ST,D/ST,BAL,Dawg Pound,283.94,0.0,16.7,0.0,2023,499904937,Sunday Funday
Trey McBride,TE,ARI,Dawg Pound,161.75,62.59,9.51,4.17,2023,499904937,Sunday Funday
Quentin Johnston,WR,LAC,Dawg Pound,84.5,0.0,4.97,0.0,2023,499904937,Sunday Funday
